text,occurrence_count
unpaid local manufacturers,14.0
qualified professionals,14.0
disability organisations,14.0
foreign institutions,14.0
legal community,14.0
baby food,14.0
different person,14.0
wider audiences,14.0
strengthened public structures,14.0
local flavours,14.0
higher temperatures,14.0
sharp-eyed social commentator,14.0
krontire family,14.0
global nutrition company,14.0
geologists,14.0
forced marriages,14.0
electricity bill payments,14.0
direct phone call,14.0
double daily flights,14.0
voluntary military service,14.0
trade partnerships,14.0
sanitation workers,14.0
full gear,14.0
private stakeholders,14.0
mid-year updates,14.0
fake drugs,14.0
plotters,14.0
numerous individuals,14.0
global map,14.0
second-hand clothing,14.0
defibrillators,14.0
one account,14.0
perfumery,14.0
heavy gunfire,14.0
extreme rainfall,14.0
third floor,14.0
knockout rounds,14.0
final draft,14.0
rainwater harvesting,14.0
back burner,14.0
current board,14.0
extra holiday,14.0
strawberries,14.0
local football,14.0
independent bodies,14.0
tissue paper,14.0
democratically elected governments,14.0
apostles,14.0
foreign schools,14.0
active contributors,14.0
emergency vehicles,14.0
long-awaited album,14.0
unhealthy fats,14.0
fake academic titles,14.0
flood-hit district,14.0
private meetings,14.0
twin classroom projects,14.0
civilian populations,14.0
donor funds,14.0
postgraduate programmes,14.0
gunshot injuries,14.0
professional teacher,14.0
second-hand clothes,14.0
manipulators,14.0
fintech firms,14.0
financial regulators,14.0
downloads,14.0
yellow fever,14.0
face shields,14.0
nine regions,14.0
drug user,14.0
tech startups,14.0
forest clubs,14.0
domestic scene,14.0
recording leaked tape,14.0
oldest player,14.0
state money,14.0
electric power,14.0
wayside,14.0
three nominations,14.0
fake titles,14.0
public address systems,14.0
independent artiste,14.0
self-driving cars,14.0
online payments,14.0
mudslides,14.0
local hospitals,14.0
various administrations,14.0
green hydrogen,14.0
resilient communities,14.0
nearby hospitals,14.0
organ transplants,14.0
public housing,14.0
public works,14.0
urban planners,14.0
seven-year-old girl,14.0
music bands,14.0
countless women,14.0
teqball,14.0
yellow mombin,14.0
tantalum,14.0
dead people,14.0
regional trainers,14.0
biggest events,14.0
family sources,14.0
party representatives,14.0
destiny haters,14.0
certain sections,14.0
environmental experts,14.0
terrorist organisations,14.0
severe turbulence,14.0
civilian areas,14.0
community centres,14.0
pus-filled lesions,14.0
grooves,14.0
agricultural jobs,14.0
syphilis,14.0
niacin,14.0
hospital officials,14.0
current wife,14.0
women businesses,14.0
multiple stab wounds,14.0
eight schools,14.0
loud bang,14.0
chronic non-communicable diseases,14.0
gestational diabetes,14.0
rubber ring,14.0
baked goods,14.0
neurosurgery,14.0
different judge,14.0
gonorrhea,14.0
black polythene bag,14.0
lentils,14.0
two-bedroom apartment,14.0
fine dining,14.0
open university,14.0
 projects,14.0
ashley,13.0
vice president-elect,13.0
coming days,13.0
handcuffs,13.0
two officials,13.0
pressure group,13.0
custodian,13.0
senior fellow,13.0
two-day workshop,13.0
appeals court,13.0
two-day conference,13.0
policy analyst,13.0
cornerstones,13.0
motor rider,13.0
justice ministry,13.0
historian,13.0
tracklist,13.0
pyramids,13.0
late substitute,13.0
trained personnel,13.0
large-scale mining sector,13.0
senior administration official,13.0
water meters,13.0
wearer,13.0
political rally,13.0
dryers,13.0
unprecedented cross-border attack,13.0
state lines,13.0
traditional financial institutions,13.0
lesbians,13.0
past nine years,13.0
community champions,13.0
male fruit,13.0
existing record,13.0
one judge,13.0
energy investors,13.0
just-ended election,13.0
four nominations,13.0
drug users,13.0
better lover,13.0
married people,13.0
smoke detectors,13.0
surprise cinema sequel,13.0
previous session,13.0
big chunk,13.0
fin,13.0
grey hair,13.0
hatchet,13.0
playgrounds,13.0
top three winners,13.0
federal grand jury,13.0
agro-processors,13.0
voting pool,13.0
four continents,13.0
red armbands,13.0
media companies,13.0
lug nuts,13.0
diesel cars,13.0
recent spillage,13.0
bioactive compounds,13.0
similar project,13.0
youngest population,13.0
computer chips,13.0
traditional rhythms,13.0
two different things,13.0
ninth minute,13.0
event cancellations,13.0
airport contract,13.0
modern medicine,13.0
everyday essentials,13.0
new users,13.0
poetry recitals,13.0
two leading parties,13.0
soya bean,13.0
smart technology,13.0
beating heart,13.0
constitutional committee,13.0
fun-packed activities,13.0
retail customers,13.0
liver cancer,13.0
close season,13.0
different schools,13.0
white police officer,13.0
upcoming presidential election,13.0
first study,13.0
affordable homes,13.0
local innovations,13.0
three albums,13.0
private associations,13.0
one faction,13.0
best clubs,13.0
tech innovators,13.0
different dates,13.0
general citizenry,13.0
one-year bill,13.0
permanent member,13.0
money audit,13.0
sesame,13.0
cleaner fuels,13.0
hot chase,13.0
guided tour,13.0
penultimate round,13.0
residential customers,13.0
black smoke,13.0
neck pain,13.0
patriotic songs,13.0
past government,13.0
fake degrees,13.0
home loans,13.0
walnuts,13.0
poor homes,13.0
heartfelt statement,13.0
parent club,13.0
driving seat,13.0
certain goods,13.0
brothels,13.0
cashew processing,13.0
renewable energy infrastructure,13.0
auction house,13.0
postal ballots,13.0
animations,13.0
biggest stages,13.0
disaster survivors,13.0
local financial institutions,13.0
fine finish,13.0
plant breeding,13.0
similar facilities,13.0
great nutrition products,13.0
value-added products,13.0
methamphetamine,13.0
current power outages,13.0
special celebrations,13.0
agro-processing factories,13.0
fishing boats,13.0
first two rounds,13.0
pivotal player,13.0
